product-name,product-price,product-short-description
ВМ-127 Вертикальный фрезерный станок 2010 г.в.,500,000 руб.
ВМ-127 Вертикальный фрезерный станок 2010 г.в.,500,000 руб.
6Т12 Вертикальный фрезерный станок 2012 г.в.,370,000 руб.
ВМ-127 Вертикальный фрезерный станок,330,000 руб.
6р82ш Широкоуниверсальный фрезерный станок,310,000 руб.
Ruhla FUW 250/IV Широкоуниверсальный фрезерный станок,300,000 руб.
1m Gambin Широкоуниверсальный фрезерный станок,250,000 руб.
FUW 315×800/I Широкоуниверсальный фрезерный станок (аналог 676),180,000 руб.
676П Широкоуниверсальный фрезерный станок,165,000 руб.
675ПФ Широкоуниверсальный фрезерный станок с долбежной головой,150,000 руб.
Ф1-250 Широкоуниверсальный фрезерный станок (пр-во Корея),140,000 руб.
6Р82г Горизонтально-фрезерный станок,100,000 руб.
675П Широкоуниверсальный фрезерный станок,100,000 руб.
